job_code,name
1101,패션잡화
1102,펀칭
1103,편조
1104,평면연마
1105,평면연삭
1106,포밍
1107,프레스금형
1108,합형
1109,후가공
1110,BBT
1111,Co2용접
1112,CVD
1113,ERP
1114,FPCB
1115,Haccp
1116,LCD
1117,LED
1118,MES
1119,PCB
1120,PVC
1121,PVD
1122,SMT
1123,농업
1124,도료/페인트
1125,계측제어
1126,도면해독
1127,디스플레이
1128,메카트로닉스
1129,목재
1130,반도체
1131,생산자동화
1132,설계보조
1133,스마트팩토리
1134,에너지관리
1135,열해석
1136,유동해석
1137,펌웨어
1138,품질분석
1139,플라스틱
1140,항공기
1141,화공약품
1142,화장품
1143,ASIC
1144,AUTOSAR
1145,BLU
1146,EDA
1147,FA(공장자동화)
1148,FPGA
1149,H/W
1150,HMI
1151,MEMS
1152,OLED
1153,S/W
1154,SMPS
1155,마스터캠
1156,솔리드엣지
1157,솔리드웍스
1158,인벤터
1159,파워밀
1160,하이퍼밀
1161,Altium
1162,AutoCAD
1163,CAD
1164,CATIA
1165,Creo(Pro-E)
1166,NX(UG)
1167,OrCAD
1168,Pads
1169,PSpice
1170,Sputter
1171,Tribon
1172,Verilog
1173,VHDL
2206,건축설계
2004,지역개발컨설팅
2073,방사선안전관리
2186,계전기
2005,가스기능사
2074,가스설비
2187,광파기
2006,감리원
2075,간판시공
2188,용접기
2007,감정평가사
2076,강구조
2189,천공기
2008,건물관리자
2077,건설관리
2190,크레인
2009,건설견적원
2078,건설노무
2191,트윈모션
2010,건설경리
2079,건조설비
2192,CAD
2011,건축가
2080,건축설비
2193,Navisworks
2012,건축기사
2081,건축전기
2194,Revit
2013,검침원
2082,경량철골
2014,공무
2083,골조
2015,공인중개사
2084,공조설비
2016,공조냉동기사
2085,관급공사
2017,기계기사
2086,교량/가설
2018,기술도해사
2087,굴착
2019,기전기사
2088,그라우팅
2020,내선전공
2089,단열
2021,다기능공
2090,대기측정분석
2022,대기환경기사
2091,덕트
2023,도장공
2092,도배/벽지
2024,목공
2093,도시가스
2025,방수공
2094,도시개발
2026,배관공
2095,도시교통
2027,보건관리자
2096,리모델링
2028,보일러기사
2097,마감재
2029,보조공
2098,마루
2030,분양상담사
2099,미장
2031,비파괴검사원
2100,바닥재
2032,산림기사
2101,반송설비
2033,수질환경기사
2102,방음/방벽
2034,시공관리자
2103,벌목
2035,시공기사
2104,부대토목
2036,신호수
2105,부동산
2037,안전관리자
2106,분전반
2038,용접부
2107,빌트인
2039,작업반장
2108,산업설비
2040,전기기사
2109,산업플랜트
2041,제관사
2110,상/하수도
2042,중개보조원
2111,샵드로잉
2043,취부사
2112,석공사
2044,캐드원
2113,석면조사
2045,토목기술자
2114,석재
2046,토양환경기사
2115,설비보수
2047,폐기물처리기사
2116,소방/방재
2048,현장관리자
2117,소음/진동
2049,현장기사
2118,수장공사
2050,환경관리자
2119,수치해석
2051,CM(건설사업관리)
2120,시설관리
2052,QA
2121,실내건축시공
2053,QC
2122,실내공기질측정
2054,전산/기술직
2123,아크용접
2055,설계엔지니어
2124,아파트건축
2056,안전보건관리자
2125,에폭시
2057,건축구조설계
2126,엘리베이터
2058,산림설계
2127,열교환기
2059,토목설계
2128,영선
2060,통신설계
2129,옹벽
2061,환경설계
2130,욕실
2062,2D설계
2131,위생설비
2063,3D설계
2132,위험성평가
2064,내진설계
2133,유리시공
2065,도시설계
2134,인테리어공사
2066,배관설계
2135,자동문
2067,배전반설계
2136,자동제어
2068,설계보조
2137,작업환경측정
2069,소방설계
2138,잡철
2070,수자원설계
2139,전계장
2071,전기설계
2140,전기설비
2072,조경설계
2141,전기시공
2142,조경공사
2143,차선도색
2144,창호/샤시
2145,철골공사
2146,철근콘크리트
2147,측량/계측
2148,친환경건축
2149,커튼월
2150,컬러링
2151,케이블설치
2152,타일시공
2153,토목건축
2154,토목공사
2155,토목공학
2156,통신공사
2157,파이프
2158,판넬시공
2159,폐수처리장관리
2160,플랜트건설
2161,플랜트설비
2162,플랜트전기
2163,플랜트토목
2164,플레이트
2165,필름시공
2166,하자보수
2167,하자진단
2168,하천
2169,해양조사
2170,홈인테리어
2171,화학플랜트
2172,환경분석
2173,환경영향평가
